街道,垃圾类型,清运次数,总清运量,平均清运量,涉及小区数
,厨余垃圾,4,283.0,70.75,1
凌云街道,干垃圾,140,59397.0,424.26428571428573,115
凌云街道,厨余垃圾,65,14778.0,227.35384615384615,64
凌云街道,餐厨垃圾,37,8009.0,216.45945945945945,37
凌云路街道,干垃圾,49,7107.0,145.0408163265306,46
凌云路街道,餐厨垃圾,49,4660.0,95.10204081632654,48
凌云路街道,湿垃圾,9,919.0,102.11111111111111,9
华泾街道,干垃圾,63,41429.0,657.6031746031746,58
华泾街道,厨余垃圾,27,12116.0,448.74074074074076,26
华泾街道,餐厨垃圾,25,5962.0,238.48,25
天平街道,干垃圾,338,71895.0,212.70710059171597,258
天平街道,厨余垃圾,122,19388.0,158.91803278688525,115
天平街道,餐厨垃圾,33,6317.0,191.42424242424244,28
天平路街道,干垃圾,169,21309.0,126.08875739644971,163
天平路街道,餐厨垃圾,144,11698.0,81.23611111111111,140
天平路街道,湿垃圾,3,539.0,179.66666666666666,3
康健新村街道,干垃圾,70,11164.0,159.4857142857143,67
康健新村街道,餐厨垃圾,43,5556.0,129.2093023255814,41
康健街道,干垃圾,125,57999.0,463.992,112
康健街道,厨余垃圾,84,25460.0,303.0952380952381,80
康健街道,餐厨垃圾,17,8529.0,501.70588235294116,17
徐家汇街道,干垃圾,460,167222.0,363.52608695652174,382
徐家汇街道,餐厨垃圾,198,58132.0,293.5959595959596,191
徐家汇街道,厨余垃圾,91,27213.0,299.04395604395603,87
徐家汇街道,湿垃圾,32,2015.0,62.96875,31
斜土街道,干垃圾,170,67061.0,394.4764705882353,135
斜土街道,餐厨垃圾,32,15905.0,497.03125,30
斜土街道,厨余垃圾,83,15131.0,182.3012048192771,77
斜土路街道,干垃圾,133,26394.0,198.45112781954887,121
斜土路街道,餐厨垃圾,89,14310.0,160.7865168539326,82
斜土路街道,湿垃圾,24,1626.0,67.75,23
枫林街道,干垃圾,163,76695.0,470.52147239263803,125
枫林街道,厨余垃圾,71,15461.0,217.7605633802817,67
枫林街道,餐厨垃圾,30,12668.0,422.26666666666665,29
枫林路街道,干垃圾,129,37470.0,290.4651162790698,127
枫林路街道,餐厨垃圾,92,8663.0,94.16304347826087,91
枫林路街道,湿垃圾,21,1901.0,90.52380952380952,21
湖南街道,干垃圾,267,49944.0,187.0561797752809,191
湖南街道,厨余垃圾,118,12761.0,108.14406779661017,116
湖南街道,餐厨垃圾,17,1999.0,117.58823529411765,17
湖南路街道,干垃圾,241,44295.0,183.7966804979253,230
湖南路街道,餐厨垃圾,196,27384.0,139.71428571428572,188
湖南路街道,湿垃圾,8,319.0,39.875,7
漕河泾街道,干垃圾,357,112854.0,316.11764705882354,298
漕河泾街道,厨余垃圾,116,40137.0,346.0086206896552,113
漕河泾街道,餐厨垃圾,118,16339.0,138.46610169491527,106
漕河泾街道,湿垃圾,18,1713.0,95.16666666666667,18
田林街道,干垃圾,306,102720.0,335.6862745098039,263
田林街道,餐厨垃圾,151,47244.0,312.87417218543044,144
田林街道,厨余垃圾,46,10854.0,235.95652173913044,46
田林街道,湿垃圾,5,402.0,80.4,5
虹梅街道,干垃圾,151,72211.0,478.21854304635764,140
虹梅街道,餐厨垃圾,40,22839.0,570.975,35
虹梅街道,厨余垃圾,35,9502.0,271.48571428571427,35
虹梅路街道,干垃圾,118,40664.0,344.6101694915254,113
虹梅路街道,餐厨垃圾,110,14935.0,135.77272727272728,103
虹梅路街道,湿垃圾,1,91.0,91.0,1
长桥街道,干垃圾,236,94169.0,399.021186440678,201
长桥街道,厨余垃圾,92,25439.0,276.5108695652174,90
长桥街道,餐厨垃圾,95,16887.0,177.7578947368421,95
长桥街道,湿垃圾,17,1198.0,70.47058823529412,17
龙华街道,干垃圾,242,98750.0,408.05785123966945,212
龙华街道,厨余垃圾,81,33666.0,415.6296296296296,79
龙华街道,餐厨垃圾,132,24941.0,188.9469696969697,123
龙华街道,湿垃圾,20,2745.0,137.25,19
