街道,日期,日清运量
,2025-06-16,283.0
凌云街道,2025-06-16,82184.0
凌云路街道,2025-06-16,12686.0
华泾街道,2025-06-16,59507.0
天平街道,2025-06-16,97600.0
天平路街道,2025-06-16,33546.0
康健新村街道,2025-06-16,16720.0
康健街道,2025-06-16,91988.0
徐家汇街道,2025-06-16,254582.0
斜土街道,2025-06-16,98097.0
斜土路街道,2025-06-16,42330.0
枫林街道,2025-06-16,104824.0
枫林路街道,2025-06-16,48034.0
湖南街道,2025-06-16,64704.0
湖南路街道,2025-06-16,71998.0
漕河泾街道,2025-06-16,171043.0
田林街道,2025-06-16,161220.0
虹梅街道,2025-06-16,104552.0
虹梅路街道,2025-06-16,55690.0
长桥街道,2025-06-16,137693.0
龙华街道,2025-06-16,160102.0
